activity_id,activity_name,phase,predecessors,baseline_duration_days,current_duration_days,status,percent_complete
E1,Process Design,Engineering,,20,20,Complete,100
E2,Detailed Engineering,Engineering,E1,30,30,Complete,100
C1,Site Preparation,Civil,E1,15,15,Complete,100
C2,Foundations,Civil,C1,25,25,Complete,100
P1,Long-Lead Equipment Procurement,Procurement,E2,60,85,Complete,100
P2,Bulk Materials Procurement,Procurement,E2,25,50,Complete,100
C3,Structural Erection,Civil,C2;P2,20,35,Complete,100
C4,Equipment Installation,Civil,C3;P1,20,24,In Progress,40
EI1,Cable and Conduit Installation,Electrical,C3,15,15,Complete,100
EI2,Instrumentation and Controls Installation,Electrical,C4;EI1,15,15,Not Started,0
CM1,Pre-commissioning Checks,Commissioning,EI2,10,10,Not Started,0
CM2,Functional Testing,Commissioning,CM1,10,10,Not Started,0
CM3,Performance Testing,Commissioning,CM2,10,10,Not Started,0
CM4,Handover,Commissioning,CM3,5,5,Not Started,0
